age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,response,predicted_probability,predicted_response
51,admin.,single,Tertiary_Education,yes,yes,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7078033163432446,1
47,admin.,single,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7224778477958238,1
35,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7130724598427755,1
29,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.712420186231989,1
34,admin.,single,professional.course,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7074402565323552,1
29,admin.,single,Tertiary_Education,no,no,cellular,apr,wed,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1,0.712122546293532,1
33,admin.,single,Tertiary_Education,no,no,cellular,apr,wed,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.712557762155591,1
31,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7040619442396164,1
31,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7138079426869904,1
41,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7148914286426814,1
32,self-employed,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.7112677923684049,1
33,technician,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.7140290676951311,1
33,technician,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7140290676951311,1
33,technician,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.7057793363977101,1
30,self-employed,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7110496530781173,1
30,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7027497524155926,1
30,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.7027497524155926,1
30,self-employed,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7110496530781173,1
30,self-employed,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.7110496530781173,1
30,self-employed,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.7110496530781173,1
30,admin.,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7083675085424422,1
42,admin.,single,professional.course,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7080506416914475,1
42,admin.,single,professional.course,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7162622902219294,1
37,admin.,single,Tertiary_Education,no,no,cellular,apr,tue,3,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7124296789283862,1
34,admin.,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7208308025424923,1
34,admin.,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7208308025424923,1
34,admin.,single,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7288206578145535,1
34,unemployed,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7121146058126707,1
34,admin.,single,Tertiary_Education,yes,yes,cellular,apr,tue,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7053619164734873,1
59,retired,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7101455935749241,1
30,admin.,single,Tertiary_Education,no,yes,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7216002897479215,1
26,unemployed,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7112429832487527,1
26,unemployed,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7112429832487527,1
26,unemployed,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7112429832487527,1
35,admin.,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7089156620847111,1
30,admin.,single,Tertiary_Education,yes,yes,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7134813304264757,1
30,admin.,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7083675085424422,1
30,admin.,married,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.700023067842192,1
25,admin.,single,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.7278751345171015,1
61,retired,married,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.7020527967296107,1
30,management,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.7003715636916019,1
44,technician,single,professional.course,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.7014051643350482,1
59,admin.,divorced,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.7045017164107447,1
32,unemployed,single,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1,0.7133388135377275,1
32,unemployed,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.7050773943693415,1
33,admin.,married,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1,0.7018329954965269,1
39,technician,single,professional.course,no,no,cellular,apr,wed,3,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.415,5099.1,0,0.7180523359424323,1
29,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1,0.714271970977947,1
29,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.714271970977947,1
35,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7030507294808531,1
24,management,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7007026383772821,1
24,management,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7007026383772821,1
32,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1,0.7148930649975802,1
32,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7229875522232914,1
26,admin.,single,Tertiary_Education,unknown,unknown,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7140827024346054,1
32,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7148930649975802,1
24,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1,0.7140264764702228,1
33,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.715001277495235,1
32,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7063568731252337,1
24,management,single,Tertiary_Education,no,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7003979710801863,1
36,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7067972166942326,1
25,student,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.7184591325332879,1
50,services,single,Primary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.41,5099.1,0,0.712987885453231,1
26,student,single,Tertiary_Education,no,yes,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1,0.7030238640193732,1
45,services,single,unknown,no,no,cellular,apr,fri,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.405,5099.1,1,0.7005961077334246,1
32,technician,single,professional.course,no,no,cellular,apr,mon,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.405,5099.1,0,0.7056182894549261,1
53,admin.,married,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.7033009938583107,1
41,technician,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.7019740214983945,1
47,housemaid,single,professional.course,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7000436464380008,1
29,technician,single,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.7209942453070446,1
53,admin.,married,Tertiary_Education,yes,no,cellular,apr,tue,2,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.405,5099.1,1,0.7287041292441955,1
23,admin.,single,Tertiary_Education,no,no,cellular,apr,wed,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7130386742852796,1
30,unemployed,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7052546930535594,1
23,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.713335748320777,1
23,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.713335748320777,1
29,admin.,single,Secondary_Education,no,yes,cellular,apr,wed,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.405,5099.1,1,0.7228698896318073,1
29,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7139867789998042,1
39,admin.,married,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.7028992685353544,1
25,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,1,0.7057444209956052,1
44,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,1,0.7042069971338755,1
27,admin.,single,Tertiary_Education,yes,no,cellular,apr,tue,3,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.384,5099.1,0,0.704602219291091,1
31,admin.,single,Tertiary_Education,yes,no,cellular,apr,tue,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.384,5099.1,0,0.7136029764435957,1
24,technician,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.70756704183126,1
31,management,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7032827158202793,1
24,technician,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.70756704183126,1
33,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.704625434603607,1
35,admin.,single,Tertiary_Education,yes,yes,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.709996698120651,1
27,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7241798976128929,1
58,retired,married,Primary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.704961284846646,1
31,technician,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7415073954281903,1
26,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7159986110268058,1
44,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7058396122538341,1
30,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7244979631389555,1
31,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7165381608247521,1
30,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7244979631389555,1
53,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7587064518866923,1
31,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7246039344540536,1
60,admin.,married,Secondary_Education,unknown,unknown,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7070036728580413,1
60,admin.,married,Secondary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7153931065475116,1
48,entrepreneur,married,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7192374786639125,1
53,management,divorced,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7193199315092627,1
43,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7057293528108664,1
31,admin.,single,Secondary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7321149634080555,1
40,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.705398429962341,1
45,admin.,single,Secondary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7256677781105532,1
30,management,married,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.717054527009244,1
30,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7244979631389555,1
48,entrepreneur,married,Tertiary_Education,no,no,cellular,apr,thu,2,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7189441109366335,1
31,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7056522462777116,1
30,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7244979631389555,1
41,admin.,single,Tertiary_Education,unknown,unknown,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7174559756809711,1
30,student,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7207334025825625,1
36,technician,single,professional.course,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7290037660726628,1
37,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7063135424455134,1
34,admin.,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7047359346179772,1
30,entrepreneur,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7117166867541921,1
49,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7265070907224436,1
70,self-employed,married,Tertiary_Education,yes,no,cellular,apr,thu,2,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7152468584255731,1
35,technician,married,professional.course,no,no,cellular,apr,thu,2,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7085879421438902,1
51,technician,married,professional.course,yes,yes,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7035736969223962,1
51,technician,married,professional.course,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7106378448482868,1
39,technician,married,professional.course,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.717515943274478,1
29,admin.,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7243919665564548,1
56,entrepreneur,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7280974464734656,1
53,admin.,single,Tertiary_Education,no,yes,cellular,apr,thu,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7116627494132705,1
25,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7049900830021046,1
43,technician,single,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.717834745662193,1
56,entrepreneur,married,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7280974464734656,1
37,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7171848021045045,1
28,admin.,single,Tertiary_Education,yes,yes,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7092307946446313,1
28,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7162145052931699,1
28,admin.,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7162145052931699,1
28,admin.,single,Tertiary_Education,yes,yes,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7423378812900969,1
49,admin.,divorced,Tertiary_Education,no,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.7061790623839143,1
31,admin.,single,Tertiary_Education,yes,yes,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7095591851195622,1
37,self-employed,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7063135424455134,1
37,admin.,married,Secondary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7046312071720555,1
48,unemployed,single,Primary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7168007201995845,1
36,admin.,married,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,1,0.7305585710825805,1
29,technician,single,professional.course,no,no,cellular,apr,thu,2,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.365,5099.1,0,0.7279813487820439,1
30,entrepreneur,single,Tertiary_Education,yes,no,cellular,apr,thu,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7034279546875898,1
